0.0460 , 0.0780 , 0.3873 , 0.932194
0.0460 , 0.0780 , 0.3874 , 1.025944
0.0460 , 0.0780 , 0.3873 , 1.072819
0.0460 , 0.0780 , 0.3874 , 1.260319
0.0460 , 0.0780 , 0.3874 , 1.338444
0.0460 , 0.0780 , 0.3873 , 1.400944
0.0460 , 0.0780 , 0.3874 , 1.463444
0.0460 , 0.0780 , 0.3873 , 1.525944
0.0461 , 0.0780 , 0.3872 , 1.572819
0.0460 , 0.0780 , 0.3873 , 1.619694
0.0461 , 0.0780 , 0.3872 , 1.807194
0.0460 , 0.0780 , 0.3873 , 1.885319
0.0460 , 0.0780 , 0.3874 , 1.963444
0.0460 , 0.0780 , 0.3874 , 2.010319
0.0460 , 0.0780 , 0.3873 , 2.182194
0.0460 , 0.0780 , 0.3873 , 2.244694
0.0460 , 0.0780 , 0.3874 , 2.338444
0.0460 , 0.0780 , 0.3874 , 2.400944
0.0459 , 0.0780 , 0.3874 , 2.447819
0.0459 , 0.0780 , 0.3875 , 2.525944
0.0459 , 0.0780 , 0.3875 , 2.619694
0.0460 , 0.0780 , 0.3873 , 2.682194
0.0460 , 0.0780 , 0.3873 , 2.744694
0.0460 , 0.0780 , 0.3873 , 2.822819
0.0460 , 0.0780 , 0.3874 , 2.900944
0.0460 , 0.0780 , 0.3873 , 2.994694
0.0459 , 0.0780 , 0.3875 , 3.150944
0.0459 , 0.0780 , 0.3875 , 3.197819
0.0460 , 0.0780 , 0.3873 , 3.244694
0.0460 , 0.0780 , 0.3873 , 3.510319
0.0460 , 0.0780 , 0.3874 , 3.619694
0.0459 , 0.0780 , 0.3875 , 3.775944
0.0459 , 0.0781 , 0.3876 , 3.994694
0.0459 , 0.0781 , 0.3876 , 4.104069
0.0460 , 0.0780 , 0.3873 , 4.166569
0.0460 , 0.0780 , 0.3874 , 4.275944
0.0460 , 0.0780 , 0.3873 , 4.322819
0.0459 , 0.0780 , 0.3875 , 4.369694
0.0459 , 0.0780 , 0.3875 , 4.416569
0.0461 , 0.0780 , 0.3871 , 4.463444
0.0461 , 0.0780 , 0.3871 , 4.572819
0.0460 , 0.0780 , 0.3874 , 4.713444
0.0461 , 0.0780 , 0.3872 , 4.838444
0.0460 , 0.0780 , 0.3873 , 4.916569
0.0459 , 0.0780 , 0.3875 , 5.057194
0.0460 , 0.0780 , 0.3873 , 5.119694
0.0460 , 0.0780 , 0.3873 , 5.166569
0.0460 , 0.0780 , 0.3874 , 5.213444
0.0459 , 0.0781 , 0.3874 , 5.244694
0.0461 , 0.0780 , 0.3872 , 5.260319
0.0444 , 0.0776 , 0.3880 , 5.338444
0.0413 , 0.0759 , 0.3888 , 5.447819
0.0388 , 0.0751 , 0.3876 , 5.479069
0.0384 , 0.0744 , 0.3890 , 5.541569
0.0388 , 0.0727 , 0.3887 , 5.635319
0.0374 , 0.0711 , 0.3886 , 5.682194
0.0360 , 0.0701 , 0.3877 , 5.854069
0.0336 , 0.0693 , 0.3880 , 6.135319
0.0298 , 0.0688 , 0.3889 , 6.229069
0.0255 , 0.0684 , 0.3892 , 6.432194
0.0216 , 0.0677 , 0.3891 , 6.510319
0.0216 , 0.0677 , 0.3891 , 6.572819
0.0100 , 0.0653 , 0.3902 , 6.635319
0.0043 , 0.0642 , 0.3903 , 6.791569
-0.0006 , 0.0631 , 0.3903 , 6.838444
-0.0061 , 0.0627 , 0.3909 , 6.869694
-0.0100 , 0.0628 , 0.3901 , 7.088444
-0.0121 , 0.0630 , 0.3900 , 7.229069
-0.0121 , 0.0630 , 0.3900 , 7.432194
-0.0139 , 0.0632 , 0.3900 , 7.479069
-0.0162 , 0.0636 , 0.3905 , 7.525944
-0.0167 , 0.0637 , 0.3904 , 7.588444
-0.0169 , 0.0637 , 0.3906 , 7.635319
-0.0170 , 0.0637 , 0.3907 , 7.775944
-0.0185 , 0.0636 , 0.3903 , 7.807194
-0.8839 , -1.4966 , 2.9778 , 7.807194
-0.0230 , 0.0634 , 0.3914 , 7.822819
-0.0256 , 0.0631 , 0.3912 , 7.838444
-0.0259 , 0.0630 , 0.3903 , 7.869694
-0.0260 , 0.0630 , 0.3902 , 7.900944
-0.0261 , 0.0630 , 0.3903 , 7.947819
-0.0261 , 0.0630 , 0.3904 , 8.057193999999999
-0.0261 , 0.0630 , 0.3903 , 8.150943999999999
-0.0261 , 0.0630 , 0.3903 , 8.244693999999999
